geolocation_city,avg,avg
perola d'oeste,-25.82677626035422,-53.741462537606886
lagoinha do piauí,-5.833237787328495,-42.633322625198936
itaimbe,-19.66469628173546,-40.83650571195031
santa terezinha de minas,-20.228240239291733,-44.400777163561145
caxambu,-21.98080481713224,-44.93169566840271
divinópolis do tocantins,-9.798787530901588,-49.2150246783752
santa bárbara,-19.963701314277532,-43.41275309134566
carnaíba,-7.806819608368857,-37.793723689281464
joaquim tavora,-23.499978835978908,-49.92109987477756
são sebastião do caí,-29.591478965569415,-51.36238383232288
aratuípe,-13.069350503117775,-38.98836308898652
passé,-12.729459889765042,-38.525362094291694
cássia dos coqueiros,-21.28016632570493,-47.16742884196569
indiaroba,-11.522596449776403,-37.50900137028287
ibiam,-27.18092952644767,-51.2373440328739
maracás,-13.43969860117215,-40.432804234412586
ipiaçu,-18.692540159884146,-49.943008018714494
amaral ferrador,-30.874238817770845,-52.253193029298465
turiuba,-20.9496060899824,-50.10705383535377
oratorios,-20.431125168651285,-42.80366481024721
poco de jose de moura,-6.5751288115504805,-38.512056330191086
santa tereza do tocantins,-10.283361418013058,-47.80900716698315
sao bras,-10.12626257927444,-36.89934930734973
poco redondo,-9.81962848772761,-37.690695489870215
sao bernardo,-3.3521661980954023,-42.4228041119863
marcolândia,-7.445497553782512,-40.66663410910506
coribe,-13.825204329206677,-44.453887836460595
cidelandia,-5.173429220943391,-47.78618987724099
quebrangulo,-9.316654310585411,-36.46675348654845
ilhabela,-23.814526222798346,-45.368725864327395
caçador,-26.779838073894236,-51.00967004765385
sao jose do rio preto,-20.809641072093626,-49.37964503407097
sao sebastiao da grama,-21.710604413265038,-46.82227933451837
cafezal do sul,-23.904122234119335,-53.51358724176113
fundão,-19.93451950226017,-40.40646336308993
firminopolis,-16.579066123350284,-50.3051921221256
arari,-3.450955216573816,-44.778441915102725
acailandia,-4.944747265765335,-47.48256492492615
novo acordo,-9.965557926262207,-47.67752080845856
mocajuba,-2.581604841975791,-49.506407619559745
lauro muller,-28.38800663400221,-49.40732710053694
erval seco,-27.55118173789102,-53.508269312667835
